last trading session: 2026-09-04
[CRITICAL] tournament:freshness         benchmark_inception.json: max date 2026-05-20 is 74 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:calendar          intraday.json: contains non-trading date 2026-09-07 (phantom session)
[CRITICAL] tournament:calendar          vol_close_canonical.json: contains non-trading date 2026-09-07 (phantom session)
[CRITICAL] tournament:freshness         vol_regime.json: max date 2026-07-17 is 35 sessions-old vs last session 2026-09-04
[CRITICAL] calendar:canonical_close     vol_close_canonical dated 2026-09-07 (non-trading day): phantom close written
[HIGH    ] tournament:gaps              regime_daily_published.csv: missing trading days in recent window [datetime.date(2026, 6, 24), datetime.date(2026, 6, 26), datetime.date(2026, 8, 27)]
[HIGH    ] tournament:dead_columns      regime_v4_daily.csv: columns empty for last 5+ rows but populated earlier: ['p_7_60_logistic_pc', 'p_15_20_elastic_net', 'p_15_40_logistic_pc', 'p_15_60_logistic_pc']
[HIGH    ] tournament:freshness         v4_scoring_params.json: max date 2026-09-01 is 3 sessions-old vs last session 2026-09-04
[HIGH    ] provider:vol_complex         canonical providers unavailable for ['vix3m', 'vvix', 'vix1d', 'skew'] (Cboe path failing; intraday nulls follow from this)
[HIGH    ] nullguard                    intraday.skew is null; dependent safety checks must read IMPAIRED not false
[HIGH    ] nullguard                    intraday.vvix is null; dependent safety checks must read IMPAIRED not false
[HIGH    ] ui:calendar                  lastTradingSessionISO() not holiday-aware
[HIGH    ] v4:monthly_columns           p_7_60_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_20_elastic_net populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_40_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_60_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] governance:coverage          1_cap_pres: unclassified share 71% > 15%
[HIGH    ] governance:coverage          2_balanced: unclassified share 59% > 15%
[HIGH    ] governance:coverage          3_aggressive: unclassified share 41% > 15%
[HIGH    ] governance:coverage          4_tactical: unclassified share 35% > 15%
[HIGH    ] governance:coverage          5_werner: unclassified share 16% > 15%
[HIGH    ] governance:review_overdue    visibility override AMZN review_by 2026-08-13 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override ANET review_by 2026-08-18 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override ETN review_by 2026-08-14 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override GD review_by 2026-08-12 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override MSFT review_by 2026-08-12 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override VRT review_by 2026-08-12 passed (decay should be active)
[MEDIUM  ] tournament:schema            backtest_metrics.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            event_calendar.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            indicator_series.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            intraday.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            regime_comparison.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            regime_conditional_scores.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            regime_v2_auc.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            regime_v2_divergence_test.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            thesis_backtest.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            thesis_claims.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            thesis_registry.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            ticker_indicators.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            ticker_signals.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            v4_calibration.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            v4_model_results.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] tournament:schema            v4_scoring_params.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] screener:schema              visibility_registry.json: no declared as_of/session_date; freshness inferred from max date (unreliable)
[MEDIUM  ] validation:small_n           event-day n<20 without caveat flag
[MEDIUM  ] status:opaque                tournament failure_reason does not name the failing assertion
[INFO    ] tournament:freshness         loco_cv_results.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         ml_indicator_weights.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         pca_loadings.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         pca_variance_explained.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         regime_comparison.json: no date axis found (static config?)
[INFO    ] tournament:freshness         regime_v2_auc.json: no date axis found (static config?)
[INFO    ] tournament:freshness         regime_v2_divergence_test.json: no date axis found (static config?)
[INFO    ] tournament:freshness         regime_v3_correlation.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         scored_universe.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         v4_calibration.json: no date axis found (static config?)
[INFO    ] tournament:freshness         v4_model_results.json: no date axis found (static config?)
[INFO    ] screener:freshness           scored_universe.csv: no date axis found (static config?)
[INFO    ] screener:freshness           watchlist_top30.csv: no date axis found (static config?)

59 findings; 5 CRITICAL
exit 1
