last trading session: 2026-09-04
[CRITICAL] tournament:freshness         backtest_holdings_log.csv: max date 2026-05-01 is 87 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         benchmark_inception.json: max date 2026-06-05 is 63 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         regime_comparison.json: max date 2026-06-03 is 65 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         regime_v2_auc.json: max date 2026-06-02 is 66 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         regime_v2_divergence_test.json: max date 2026-06-02 is 66 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         regime_v2_leadtimes.csv: max date 2025-02-19 is 395 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         regime_v3_daily.csv: max date 2026-06-02 is 66 sessions-old vs last session 2026-09-04
[CRITICAL] tournament:freshness         vol_canonical_close.json: max date 2026-07-07 is 43 sessions-old vs last session 2026-09-04
[HIGH    ] tournament:gaps              backtest_holdings_log.csv: missing trading days in recent window [datetime.date(2021, 6, 2), datetime.date(2021, 6, 3), datetime.date(2021, 6, 4), datetime.date(2021, 6, 7), datetime.date(2021, 6, 8), datetime.date(2021, 6, 9)]
[HIGH    ] tournament:dead_columns      regime_v4_daily.csv: columns empty for last 5+ rows but populated earlier: ['p_7_60_logistic_pc', 'p_15_20_elastic_net', 'p_15_40_logistic_pc', 'p_15_60_logistic_pc']
[HIGH    ] tournament:freshness         v4_model_results.json: max date 2026-09-01 is 3 sessions-old vs last session 2026-09-04
[HIGH    ] tournament:freshness         v4_scoring_params.json: max date 2026-09-01 is 3 sessions-old vs last session 2026-09-04
[HIGH    ] nullguard                    intraday.vvix is null; dependent safety checks must read IMPAIRED not false
[HIGH    ] v4:monthly_columns           p_7_60_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_20_elastic_net populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_40_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] v4:monthly_columns           p_15_60_logistic_pc populated through 2026-08-24 but monthly model train_end is 2026-08-31
[HIGH    ] governance:coverage          1_cap_pres: unclassified share 71% > 15%
[HIGH    ] governance:coverage          2_balanced: unclassified share 59% > 15%
[HIGH    ] governance:coverage          3_aggressive: unclassified share 41% > 15%
[HIGH    ] governance:coverage          4_tactical: unclassified share 35% > 15%
[HIGH    ] governance:coverage          5_werner: unclassified share 16% > 15%
[HIGH    ] governance:review_overdue    visibility override AMZN review_by 2026-08-13 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override ANET review_by 2026-08-18 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override ETN review_by 2026-08-14 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override GD review_by 2026-08-12 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override MSFT review_by 2026-08-12 passed (decay should be active)
[HIGH    ] governance:review_overdue    visibility override VRT review_by 2026-08-12 passed (decay should be active)
[MEDIUM  ] validation:lookahead         today not excluded from reversion hit-rate
[MEDIUM  ] status:opaque                tournament failure_reason does not name the failing assertion
[INFO    ] tournament:freshness         loco_cv_results.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         ml_indicator_weights.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         pca_loadings.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         pca_variance_explained.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         regime_v3_correlation.csv: no date axis found (static config?)
[INFO    ] tournament:freshness         scored_universe.csv: no date axis found (static config?)
[INFO    ] screener:freshness           scored_universe.csv: no date axis found (static config?)
[INFO    ] screener:freshness           watchlist_top30.csv: no date axis found (static config?)

38 findings; 8 CRITICAL
exit 1
